2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_verifyFareBelowTwoKms FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareBelowTwoKms_NightCharges
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_verifyFareBelowTwoKms_NightCharges FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyDistancesCount
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeOrder_verifyDistancesCount FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyFareAboveTwoKms
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeOrder_verifyFareAboveTwoKms FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyFareBelowTwoKms
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeOrder_verifyFareBelowTwoKms FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:37 - ID is : 0
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeOrder_verifyID FAILED
2019-01-18 18:54:28 INFO  LOG:89 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_InvalidID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:114 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:74 - InValid Status Code0
2019-01-18 18:54:28 INFO  LOG:98 - TestCase_Fetch_Order_VerifyStatusCode_InvalidID FAILED
2019-01-18 18:54:28 INFO  LOG:89 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_ValidID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:114 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:40 - Valid Status Code0
2019-01-18 18:54:28 INFO  LOG:98 - TestCase_Fetch_Order_VerifyStatusCode_ValidID FAILED
2019-01-18 18:54:28 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:126 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:90 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:103 - InValid Status Code for Incorrect flow of Take Order0
2019-01-18 18:54:28 INFO  LOG:127 - TestCase_Take_Order_VerifyStatusCode_InvalidFlow FAILED
2019-01-18 18:54:28 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_InvalidID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:90 - Exception occured : null
